source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	generated_question	appropriate_answer
data/raw/hecat/MEH.pdf	62	Mental and Emotional Health	MEH	8	Advocacy	skill	2	Pre-K-2	2	MEH8.2.2	Demonstrate how to encourage peers to make healthy mental and emotional health choices.		Why do we need to be nice to our friends when they are sad?	It's really important to be nice to our friends when they're sad because it helps them feel better. When we show kindness, it's like giving them a warm hug that makes them feel loved and supported. This can help them start to feel happier again. Also, being kind to others teaches us to be good friends and makes everyone feel good around us. So, let's always try to be there for our friends when they need us!
data/raw/hecat/PHW.pdf	19	Personal Health and Wellness	PHW	2	Analyzing Influences	skill	12	9-12	4	PHW2.12.4	Analyze how personal attitudes, values, and beliefs influence healthy and unhealthy personal health and wellness-related practices and behaviors.		Why do some people eat junk food even if they know it's not good for them?	Hey there! It's a great question. Sometimes, people might choose to eat junk food even if they know it's not the best for them because of their personal attitudes, values, and beliefs. For example, they might really enjoy the taste or think it makes them feel happy in the moment. But they also know that eating too much junk food can make them feel sick or less energetic. It's important to remember that everyone has different thoughts and feelings about food, and it's okay to enjoy treats sometimes, but it's also good to try to balance those with healthier choices. If you ever have questions about what's good for you, it's always a good idea to talk to a grown-up you trust, like a parent or a doctor.
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	38	MEH1.12.38	Summarize the benefits of living in a diverse society.	HBO 7	Why is it good to have lots of different kinds of people around us?	Hi there! Having lots of different kinds of people around us is really good because it helps us learn new things and see the world in many different ways. When we live in a diverse society, we get to meet people from all sorts of backgrounds, which can teach us about different cultures, beliefs, and lifestyles. This not only makes our community richer but also helps us become more understanding and accepting of others. Plus, it’s fun to learn about new foods, music, and traditions from people who are different from us! So, having diversity around us is like getting a big, colorful puzzle where everyone brings something special to make the picture complete.
data/raw/hecat/MEH.pdf	24	Mental and Emotional Health	MEH	3	Accessing Information	skill	5	3-5	3	MEH3.5.3	Demonstrate how to locate sources of valid mental and emotional health information.		Where can I find out if my feelings are okay and what to do when I'm sad or scared?	Hey there! It's great that you're asking about your feelings. Sometimes we all feel sad or scared, and that's okay! To learn more about your feelings, you can talk to a grown-up you trust, like a parent or teacher. They can help you understand your feelings better. You can also read books or watch videos made for kids about emotions. Libraries and websites for kids have lots of good information. Remember, it's always good to share your feelings with someone who cares about you.
data/raw/hecat/V.pdf	38	Violence Prevention	V	5	Decision-Making	skill	5	3-5	4	V5.5.4	Identify options and their potential outcomes when making a decision that could lead to violence.		Why do we need to be careful about fighting with others and what happens if we do fight?	Hey there! It's really important to be careful about fighting because when we fight, it can make everyone feel sad and upset. Fighting might seem like a quick way to solve a problem, but it often makes things worse. When we fight, we might say mean things or hurt each other, which can cause big problems. Instead, we can talk about our feelings and try to find ways to solve problems together. This helps keep everyone safe and happy. If you ever feel like fighting, remember to take a deep breath, count to ten, and ask a grown-up for help. They can teach you better ways to handle your feelings and solve problems. What do you think are some good ways to deal with feeling angry or upset?
data/raw/hecat/PHW.pdf	9	Personal Health and Wellness	PHW	1	Core Concepts	knowledge	12	9-12	3	PHW1.12.3	Summarize personal strategies for avoiding vision damage.	HBO 3	Why do we need to wear sunglasses and what else can we do to protect our eyes? 	Hey there! Wearing sunglasses is super important because they help shield your eyes from harmful UV rays from the sun. Just like how sunscreen protects your skin, sunglasses protect your eyes. They can help prevent things like cataracts and other eye problems later in life. Besides wearing sunglasses, you can also protect your eyes by not looking directly at the sun, eating foods rich in vitamins A and C, and taking regular breaks if you spend a lot of time looking at screens. It's all about keeping your eyes healthy and happy!
data/raw/hecat/MEH.pdf	52	Mental and Emotional Health	MEH	6	Goal Setting	skill	12	9-12	1	MEH6.12.1	Assess personal mental and emotional health practices and behaviors.		What are some good ways to feel happy inside when I'm sad?	It's really important to take care of your feelings when you're sad. Some good ways to feel happier can be doing things you enjoy, like drawing, reading, or playing with friends. Talking to someone you trust, like a parent or teacher, can also help a lot. Sometimes, it helps to write down your feelings in a journal or do some deep breathing exercises. Remember, it's okay to have sad feelings sometimes, and taking time to understand and care for yourself is very important.
data/raw/hecat/FN.pdf	40	Food and Nutrition	FN	5	Decision-Making	skill	8	6-8	7	FN5.8.7	Choose a food or beverage that fits with a healthy eating pattern when making a decision about what to eat or drink.		Why do we need to choose foods that are good for us when we're picking what to eat?	Hey there! When we choose foods that are good for us, it's like giving our bodies the best building blocks to grow strong and stay healthy. Just like how you need the right toys to build a cool tower, our bodies need the right foods to help us grow big and strong. Eating healthy foods helps our brains work better, gives us more energy to play and learn, and keeps us feeling happy and full of energy throughout the day. So, picking foods that fit into a healthy eating pattern is like choosing the best ingredients to make a yummy and nutritious meal!
data/raw/hecat/SH.pdf	3	Sexual Health	SH	1	Core Concepts	knowledge	2	Pre-K-2	4	SH1.2.4	Identify the benefits of healthy peer relationships.	HBO 2	Why are friends so important?	Friends are really important because they make us feel happy and safe. When we have good friends, we can share our toys, play games together, and talk about things that make us laugh. Friends also help us learn new things and teach us how to be kind to others. It's nice to have someone to play with and share your feelings with. Having good friends makes life more fun and helps us grow into big, friendly people!
data/raw/hecat/SH.pdf	7	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	28	SH1.8.28	Explain how to receive consent and accept a lack or retraction of consent for sexual behaviors.	HBO 4|HBO 6|HBO 7|HBO 9	What does it mean to say 'no' to someone who wants to do something private with me, and how do I know if they really mean it? 	Hey there! Saying 'no' means you're not comfortable with what someone else wants to do. It's important to listen to your feelings and what makes you feel safe. If someone says 'no,' even if they said 'yes' before, it still means they don't want to do that thing anymore. It's okay to say 'no' anytime you feel uncomfortable. If you ever feel unsure about what someone means, it's best to talk it over with a grown-up you trust, like a parent or teacher. They can help you understand better and keep you safe.
