source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	scenario_type	situation	generated_question	generated_answer
data/raw/hecat/MEH.pdf	62	Mental and Emotional Health	MEH	8	Advocacy	skill	2	Pre-K-2	2	MEH8.2.2	Demonstrate how to encourage peers to make healthy mental and emotional health choices.		observation	A classmate seems sad and doesn't want to play during recess	I noticed my friend seems really down and doesn't want to play with us at recess. I wonder if they want to talk about it or if I should just leave them alone.	Good catch. It's nice that you noticed your friend isn't feeling happy. Sometimes when people are sad, they might want to talk about it, but other times they just need some space. What do you think would make them feel better? Maybe you could ask them if they want to talk or just sit together for a bit. That way, you're being a good friend without pushing them to do something they don't want to do.
data/raw/hecat/PHW.pdf	19	Personal Health and Wellness	PHW	2	Analyzing Influences	skill	12	9-12	4	PHW2.12.4	Analyze how personal attitudes, values, and beliefs influence healthy and unhealthy personal health and wellness-related practices and behaviors.		internet_health_trend	teen sees questionable health advice online	I saw this TikTok saying you can skip breakfast if you drink a protein shake later, but it just seems too good to be true.	Good catch! It's easy to see why that might sound too good to be true. Skipping breakfast isn't usually a great idea because it's often the first meal of the day that gives you energy to start your day. But a protein shake could be a good supplement if you're really short on time. Just make sure you're still getting other important nutrients throughout the day. What do you think about trying to make time for a balanced breakfast instead?
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	38	MEH1.12.38	Summarize the benefits of living in a diverse society.	HBO 7	social_pressure	teammate makes fun of someone for liking different music	My buddy keeps making jokes about my friend liking a different type of music and it's making me uncomfortable.	I can see why that would make you uncomfortable. It's really important to respect everyone's musical tastes, no matter what they are. Diverse societies are stronger because we get to learn from and appreciate different perspectives and preferences. Maybe you could gently remind your buddy why it's not a good idea to make fun of someone for liking different music?
data/raw/hecat/MEH.pdf	24	Mental and Emotional Health	MEH	3	Accessing Information	skill	5	3-5	3	MEH3.5.3	Demonstrate how to locate sources of valid mental and emotional health information.		social_media_stress	The child sees a friend's post about feeling happy and starts comparing themselves	I saw my friend's post saying they feel great and it made me think I'm not doing enough.	I can see why that might make you feel that way. It’s normal to compare yourself to others, but remember, what you see on posts is just a snapshot. Your friend might be feeling great today, but everyone has ups and downs. Focus on your own feelings and what makes you happy.
data/raw/hecat/V.pdf	38	Violence Prevention	V	5	Decision-Making	skill	5	3-5	4	V5.5.4	Identify options and their potential outcomes when making a decision that could lead to violence.		fight_aftermath	two students got into a fight at school and now everyone is talking about it	I saw some kids talking about how they should have just walked away instead of getting into a fight, but I'm not sure what to do if it happens to me.	I've heard that talking about it can help. Seeing others walk away can make you wonder what to do too. If something like that happens to you, it's really important to stay calm and try walking away if you can. You could also find a teacher or another grown-up you trust to talk to. Sometimes it helps to have a friend or family member you can rely on too.
data/raw/hecat/PHW.pdf	9	Personal Health and Wellness	PHW	1	Core Concepts	knowledge	12	9-12	3	PHW1.12.3	Summarize personal strategies for avoiding vision damage.	HBO 3	eye_strain	teen experiences eye strain from too much screen time	I've been spending all my free time on my phone and my eyes feel super tired and sore.	I've been there before—it can feel really uncomfortable when your eyes get tired from too much screen time. It's great that you're noticing it. Have you tried taking breaks to rest your eyes? Maybe set a timer to remind you to look away from the screen every 20 minutes and focus on something 20 feet away for 20 seconds. That can help a lot.
data/raw/hecat/MEH.pdf	52	Mental and Emotional Health	MEH	6	Goal Setting	skill	12	9-12	1	MEH6.12.1	Assess personal mental and emotional health practices and behaviors.		anxiety	The teen feels nervous about an upcoming test and keeps worrying about not doing well.	I keep thinking about that math test tomorrow and it's making me feel really nervous. I've been checking my notes like a hundred times.	I can totally understand why you’d be feeling that way. It’s normal to get nervous before a big test, especially when you’ve been going over your notes so much. Sometimes, all that checking can just make you feel more anxious. Why not try taking a short break and doing something relaxing for a bit? Maybe a quick walk or listening to some music could help calm your mind.
data/raw/hecat/FN.pdf	40	Food and Nutrition	FN	5	Decision-Making	skill	8	6-8	7	FN5.8.7	Choose a food or beverage that fits with a healthy eating pattern when making a decision about what to eat or drink.		screen_time	teen tries to choose a healthy snack while playing games but gets distracted	I was trying to pick a fruit to snack on while playing games but ended up getting a bag of chips instead.	I get it—those games can be so tempting! It’s easy to get distracted. Next time, maybe try keeping a small bowl of fruit nearby so you can grab a healthy snack without even thinking about it. That way, you won’t have to choose when you’re in the middle of playing!
data/raw/hecat/SH.pdf	3	Sexual Health	SH	1	Core Concepts	knowledge	2	Pre-K-2	4	SH1.2.4	Identify the benefits of healthy peer relationships.	HBO 2	online_relationship	made a new friend online who seems interested in meeting in person	I made this new friend on a game app and they want to meet up, but I'm not sure if that's a good idea.	That sounds exciting! It's great to make new friends, but it's important to be careful when meeting people online. Why don't you talk to a grown-up you trust, like a parent or a teacher, about it? They can help you make sure it's safe to meet this new friend in person.
data/raw/hecat/SH.pdf	7	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	28	SH1.8.28	Explain how to receive consent and accept a lack or retraction of consent for sexual behaviors.	HBO 4|HBO 6|HBO 7|HBO 9	consent_confusion	The teen is confused about a friend's behavior and whether it's okay to hug them.	My friend keeps asking if I want a hug but then doesn't listen when I say no. I don't want to seem mean but I also don't want them to think I like it.	I totally get how confusing that can be. It’s really important to communicate clearly about what feels comfortable. If your friend keeps asking but then doesn’t respect your answer, it might be a sign that they’re not fully understanding consent. Maybe you could gently explain that you prefer not to be hugged and see if they can respect that. It’s okay to set boundaries and be firm about them.
