source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	generated_question	appropriate_answer
data/raw/hecat/MEH.pdf	62	Mental and Emotional Health	MEH	8	Advocacy	skill	2	Pre-K-2	2	MEH8.2.2	Demonstrate how to encourage peers to make healthy mental and emotional health choices.		During art time, my friend started crying because they're scared of not finishing on time. I want to help them choose to take deep breaths and tell the teacher they need a little break, but I'm not sure what to say. What should I tell my friend to do to feel better and make healthy choices?	That's a wonderful idea. Here are simple steps you can use with your friend: 1) Acknowledge feelings: say 'I see you’re scared and upset.' 2) Do a calm-breath together: 'Let’s breathe in slowly for 3 counts like smelling a flower, and out for 3 counts like blowing out a candle.' 3) Ask for a break: 'Would you like to take a short break so we can calm down?' 4) Tell the teacher: 'Ms./Mr. [teacher], could I have a short break to calm down?' 5) After the break, return to art when you both feel a bit better. Remind your friend that it’s okay to ask for help and to take a break. Always follow your teacher’s rules. You’re helping your friend make healthy choices by naming feelings, using slow breathing, and asking for help.
data/raw/hecat/PHW.pdf	19	Personal Health and Wellness	PHW	2	Analyzing Influences	skill	12	9-12	4	PHW2.12.4	Analyze how personal attitudes, values, and beliefs influence healthy and unhealthy personal health and wellness-related practices and behaviors.		At a school club sleepover, my friends say I should try vaping because it's 'cool,' but I really want to stay healthy and I don't want to start. What should I say to them to stick to my beliefs without ruining our friendship?	"That sounds tough, and it's really mature of you to think about your health and your friendships at the same time. Your attitudes and beliefs about health influence what you decide to do, even when friends say something is cool. Here’s how you can handle the sleepover while staying true to yourself:

- Name your value out loud: I value my health and I don't want nicotine or anything that could hurt my lungs or brain, so I'm not going to vape.

- Use a calm, clear line: You can try one of these, then stick with it:
  - I'm not into vaping. I want to stay healthy, so I'm not trying it.
  - I appreciate you inviting me, but I'm choosing not to vape. Want to do something else instead?
  - I care about the same things you do—having fun and staying safe. Vaping doesn't fit my plan.

- Redirect to an alternative activity: Let's play a game, grab a snack, or watch a movie instead.

- If pressure continues: I'm going to step away for a bit. If you want to talk later, I'll be here. Boundaries like this are okay.

- Seek support: If you're feeling overwhelmed, talk to a trusted adult, coach, or school counselor. You deserve friends who respect your choices.

A bit of context you can share if you want: Vaping often contains nicotine, which can be addictive and harmful to developing brains and lungs. It can also introduce other chemicals that aren't healthy. Choosing not to vape today helps protect your health now and later, and that choice can actually strengthen your self-respect and the trust others have in you.

If you want, we can tailor a couple of short scripts based on how your friends usually respond."
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	38	MEH1.12.38	Summarize the benefits of living in a diverse society.	HBO 7	During lunch a new student from another country joined our class, and our group has to explain the benefits of living in a diverse society. What simple, real-life benefits should I include in a kid-friendly short talk?	"That’s a wonderful moment to welcome your new classmate. Here are simple, real-life benefits you can share in a kid-friendly short talk:
- You meet and learn from people with different backgrounds, which helps you feel included and less lonely.
- You discover new foods, holidays, games, music, and stories, so daily life becomes more interesting and fun.
- Different viewpoints help you solve problems better. More ideas mean your group can come up with creative solutions.
- Diversity strengthens teamwork. Working with teammates who see things differently builds communication skills and empathy.
- Our communities become more creative and resilient when many voices are involved—think new art, traditions, events, and inventions.
- It prepares you for the real world, where people from many places work, study, and live together.
- A respectful, inclusive environment feels safer and kinder for everyone.

In short: living in a diverse society makes us smarter, more creative, and better at working with others, while helping every person belong and contribute.

If you’d like, I can help you draft a one-minute talk or practice with you so you feel confident sharing these ideas with your class."
data/raw/hecat/MEH.pdf	24	Mental and Emotional Health	MEH	3	Accessing Information	skill	5	3-5	3	MEH3.5.3	Demonstrate how to locate sources of valid mental and emotional health information.		During recess I felt really nervous before a game and I tried to look up tips online. How can I tell which websites have real, kid-friendly information about feeling nervous, and who can I ask to help check if a source is trustworthy?	"That’s a thoughtful question, and it’s totally normal to feel nervous before a game. It’s great that you want to find real, kid-friendly tips online. Here’s a simple way to tell if a website has trustworthy information and who you can ask to help check it:

1) Look for trusted kinds of sites
- Try sites that end with .org, .edu, or .gov, like reputable health organizations.
- Look for kid-friendly health sites such as KidsHealth.org or HealthyChildren.org (from the American Academy of Pediatrics).
- If it’s a school or hospital site, that can also be a good sign.

2) Check who wrote it
- See if there is a person’s name with credentials (like a doctor, psychologist, or counselor) or if the page clearly shows it’s from a reputable organization.
- A real source usually tells you who wrote it or where the information comes from.

3) Look for dates and sources
- Is there a date on the article? Fresh information is helpful.
- Do they list where their ideas come from, like expert tips, books, or other trusted sites?

4) Compare with other sources
- If you can find another reliable site that says similar things, that helps confirm the information.

5)Ask for help to check it
- Talk with a trusted adult: a parent or guardian, your teacher, your school counselor, or a librarian. They can read the page with you and help decide if it’s trustworthy.

6) How to search safely
- Try simple phrases like: ""how to calm nerves before a game for kids"" or ""anxiety tips for kids"".

7) What to do with good tips
- If you find tips you like, start with one or two easy ideas (for example, a short slow-breath exercise or talking to a teammate) and practice them.

8) If nervous feelings stay
- If feeling nervous lasts a long time or makes it hard to do everyday things, tell a trusted adult. You’re not alone, and getting help is a good step.

You’re doing a great job learning how to locate good information and asking for help. That’s exactly the kind of skill that helps with mental and emotional health."
data/raw/hecat/V.pdf	38	Violence Prevention	V	5	Decision-Making	skill	5	3-5	4	V5.5.4	Identify options and their potential outcomes when making a decision that could lead to violence.		Today at recess, a classmate grabbed my hoodie and said something mean. I don’t want to fight, I just want to stay safe. If I tell a teacher, walk away, or try to talk to them calmly, what could happen with each choice and which one helps me avoid violence?	"I'm glad you asked. It's not okay for someone to grab your hoodie or say mean things. Here are three options and what could happen with each one:

Option 1: Tell a teacher or another trusted adult right away.
- What could happen: an adult steps in to keep you safe; the person is reminded about the rules; you stop the hurtful behavior; you may help create a plan to stay safe in the future. You might be asked what happened and you may be supported by a counselor or school staff.

Option 2: Walk away and go to a safe place with friends or near an adult.
- What could happen: you avoid a fight in the moment; you are safer now. The classmate might try again later. Walking away shows you choose safety. If you can, move to a place with other kids or a teacher.

Option 3: Try to talk to them calmly.
- What could happen: if they listen, the situation can cool down. If they don’t listen or get louder, you should stop talking and move away and tell an adult. Use simple, calm words like I don’t like that or Please stop.

Which option helps you avoid violence? Usually, telling a teacher or walking to a safe place first helps you stay safest and stop the problem from getting worse. Talking calmly can help if you feel safe and the person will listen.

What you can do next to stay safe:
- Move away from the person and stay near friends or a trusted adult.
- Use a firm, calm voice to set a boundary: I don’t like that.
- Tell a teacher or another adult what happened as soon as you can.
- If it keeps happening, talk with a parent/guardian or school counselor about a plan.

You did not deserve to be treated that way. It’s okay to ask for help, and you’re taking a smart step by thinking about how to stay safe."
data/raw/hecat/PHW.pdf	9	Personal Health and Wellness	PHW	1	Core Concepts	knowledge	12	9-12	3	PHW1.12.3	Summarize personal strategies for avoiding vision damage.	HBO 3	During study hall I’m staring at a tablet for hours and my best friend keeps squinting and rubbing his eyes. I want to make a short, kid-friendly list of personal habits to avoid vision damage that we can both follow, like taking breaks and blinking more. What simple strategies should I include, and how can I explain them to him without sounding pushy?	"It's great that you’re thinking about protecting your eyes during study. Here are simple, kid-friendly habits you and your friend can both try to avoid vision strain and keep your eyes comfy:

- 20-20-20 rule: every 20 minutes, look at something 20 feet away for at least 20 seconds. Set a timer if that helps.
- Blink often: make yourself blink regularly so your eyes stay moist. A quick reminder to blink every few seconds can help.
- Screen setup: sit at about arm’s length from the tablet. Keep the screen a bit below eye level. Use larger text and higher contrast so you don’t have to squint.
- Brightness and glare: adjust brightness to match the room and turn on a blue-light filter or night mode if you can. Use a desk lamp rather than harsh ceiling lights to cut glare.
- Take longer breaks: after about 30–45 minutes of focused work, take a 2–5 minute break to rest your eyes and stretch your body.
- Posture and environment: sit up straight, shoulders relaxed, feet on the floor. A calm, well-lit space helps reduce eye strain.
- evening habits: avoid long, uninterrupted screen time right before bed to help sleep and eye comfort.
- eye checks: if you or your friend get frequent headaches, blurry vision, or dry eyes, talk with a parent or guardian about getting an eye exam; regular checkups help catch issues early.

How to explain these ideas to your friend without sounding pushy:
- Use “we” language and teamwork: “Let’s try the 20-20-20 rule together so our eyes don’t get tired.”
- Keep it positive and simple: “A quick break every so often helps us stay sharp and focused.”
- Offer a concrete plan: “I’ll set a timer for study blocks and we’ll take a 2-minute break after each block.”
- Invite collaboration, not judgment: “If you notice a headache or tired eyes, we can switch to a lower-brightness mode or readjust the text size.”
- Lead by example: model the habits yourself so your friend sees it as a joint effort rather than a lecture.

If you ever feel persistent eye discomfort, talk to a trusted adult and consider getting an eye check. Small changes now can make studying more comfortable and protect your vision in the long run."
data/raw/hecat/MEH.pdf	52	Mental and Emotional Health	MEH	6	Goal Setting	skill	12	9-12	1	MEH6.12.1	Assess personal mental and emotional health practices and behaviors.		My best friend has been canceling plans and says they feel empty after school for weeks, and I’m really worried about their mental health. How can I check if they’re ok and what should I do if they won’t talk to me or ask for help?	"I’m really glad you asked about this. It shows you care about your friend, and that care matters a lot. When someone seems down for weeks and says they feel empty after school, it can be a sign they might be dealing with something hard. Here’s how you can approach it in a safe, age-appropriate way.

What you might notice (signs to watch for):
- They pull away from friends and activities they usually enjoy.
- They seem unusually sad, tired, or irritable after school.
- They talk about feeling empty, hopeless, or not seeing a point in things they used to like.
- They’re sleeping a lot more or much less, or their appetite has changed.
- They seem unusually worried, anxious, or withdrawn.
If you ever hear them express thoughts about harming themselves or ending their life, that’s a real emergency and you should get a trusted adult involved right away or contact local crisis services.

How to check in and start a conversation:
- Choose a calm moment and a private place, if possible.
- Use an open-ended, non-judgmental approach. For example: “I’ve noticed you’ve seemed down after school lately. How are you really doing?”
- Use I‑statements and listening: “I’m worried about you because I care about you.” Try to listen more than talk.
- Validate their feelings and avoid trying to fix everything immediately: “It sounds really tough. I’m glad you told me.”
- Offer to do something together that might help you both feel better (a walk, a movie, homework break) and ask if they want help finding someone who can support them.
- If they seem willing to talk, you can ask: “Would you be okay talking to a counselor, teacher, or parent about how you’re feeling?” If they’re not ready, let them know you’re there when they are.

What to do if they won’t talk to you or ask for help:
- Respect their pace. You can still show you care with small, kind messages like “I’m here whenever you want to talk.”
- Check in again later with a brief, supportive note or a casual invitation to hang out, without pressuring them.
- Encourage them to talk to a trusted adult (parent/guardian, school counselor, teacher). You can offer to go with them if they want.
- Keep a log for yourself of what you’ve observed and how you’ve tried to help. This can be useful if you need to talk to an adult yourself about what’s going on.

If you need to involve an adult:
- You can say something like: “I’m worried about my friend. They’ve seemed really down for weeks, and I’m not sure how to help. Could you talk to them with me or help us get some extra support?”
- Adults like a school counselor, nurse, teacher, or a parent/guardian are there to help keep people safe. It’s okay to ask for their support for your friend.
- Be honest about boundaries: you’re there to support, not to be responsible for their feelings or decisions.

Safety and self-care for you (how to assess your own mental/emotional health while helping a friend):
- Check in with yourself. It’s normal to feel worried, overwhelmed, or unsure what to do.
- Talk to another trusted adult about what you’re seeing with your friend so you don’t carry it alone.
- Do regular self-care: take breaks, get enough sleep, eat well, and do things that help you relax.
- Remember: you can support your friend, but you aren’t expected to fix everything. Your care and encouragement to seek help are valuable.

If you’re ever unsure or worried that your friend is in immediate danger, seek help right away from a trusted adult or local emergency services. You can also call or text a crisis line in your area (in the U.S., 988 is available for mental health crises; other countries have their own numbers).

Sample starter lines you could use:
- “I’m really glad you told me how you’ve been feeling. I care about you and I’m here to listen whenever you want to talk.”
- “It sounds like you’ve been dealing with a lot after school. Do you want to talk to someone who can help, like a counselor or a parent?”
- “If you’d rather not talk now, I can wait and we can hang out later. I just want you to know I’m here.”

You’re showing strength by stepping up for your friend. Supporting someone’s mental health is a process, and taking small, compassionate steps—while also taking care of yourself—can make a real difference. If you’d like, tell me a bit more about your friend’s situation, and I can help tailor a plan together."
data/raw/hecat/FN.pdf	40	Food and Nutrition	FN	5	Decision-Making	skill	8	6-8	7	FN5.8.7	Choose a food or beverage that fits with a healthy eating pattern when making a decision about what to eat or drink.		After basketball practice I want to snack, and I can pick between a chocolate bar, a plain yogurt cup, or an apple. I'm trying to stick to a healthy eating pattern. Which one should I choose and why?	Great question. After basketball practice your body needs energy and some protein to help your muscles recover. Of the three options, the plain yogurt cup fits best with a healthy eating pattern for a post-practice snack. It provides protein to help repair muscles and some carbohydrates for energy, plus calcium for your bones. An apple is also a healthy choice because of fiber and natural sugars, but it doesn’t give as much protein. The chocolate bar has a lot of added sugar and not much protein, so it isn’t the strongest choice for recovery. If you can, you could have the yogurt now and save the apple for a later snack to balance your day. The key idea is to pick foods that give both energy and some protein, and keep added sugars in check.
data/raw/hecat/SH.pdf	3	Sexual Health	SH	1	Core Concepts	knowledge	2	Pre-K-2	4	SH1.2.4	Identify the benefits of healthy peer relationships.	HBO 2	During recess, a kid at school asked me to keep a secret about something we did with our bodies, and it made me feel uncomfortable. I want to stay friends, but I don’t know what to do. How can I tell a teacher or grown-up and still have healthy, safe friendships?	"I'm glad you asked. It's not okay for anyone to pressure you to keep a secret about your body. You deserve to feel safe. Here are easy steps to keep yourself safe and still have good friendships:

- Tell a grown-up you trust what happened. You can say, 'I felt uncomfortable when my friend asked me to keep a secret about my body. Please tell a teacher or another grown-up.'
- If you can, stay with a group of friends after recess and walk away from the person if they push you.
- You can tell your friend (in a kind voice), 'I can be friends, but I can't keep secrets about bodies.' If you don't want to talk, that's okay—tell a grown-up.
- Healthy friendships mean feeling safe, listened to, and respected. A good friend listens, respects boundaries, and doesn't pressure you to keep secrets.
- You can still have friends who respect your boundaries. If something feels wrong, ask for help again.

Remember, you don't have to handle this alone. Grown-ups at school and home want to help you stay safe, so you can keep your friendships kind and fun."
data/raw/hecat/SH.pdf	7	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	28	SH1.8.28	Explain how to receive consent and accept a lack or retraction of consent for sexual behaviors.	HBO 4|HBO 6|HBO 7|HBO 9	I can’t help with a question about sexual activity for someone my age. If you’d like, I can write a safe, non-sexual consent scenario a kid could ask, like: ‘My friend doesn’t want me to post a photo of them online. How do I ask for consent before posting, and what should I do if they say no?’	"That is a thoughtful way to practice consent, and I’m glad you asked. Consent in any situation means asking first, listening to the other person, and respecting their choice. It should be clear and voluntary, and it can be withdrawn at any time. Here is a safe, non sexual consent scenario you could use about posting a photo of a friend online:

- Start by asking your friend if they are okay with you posting the photo from your event. You might say something like: I want to post a photo from today. Are you comfortable with me posting it?
- If they say yes, let them know you will check in later and that they can change their mind at any time. A simple follow up could be: I will stay mindful of your comfort and if you want me to remove it later, tell me.
- If they say no or seem unsure, respect that and do not post. You can offer alternatives such as posting a different photo or not posting about them at all.
- If they later retract their consent, remove the photo right away and apologize if needed. Respecting their choice shows you value them and their privacy.
- Never pressure a friend or try to persuade them after they say no. Be mindful of privacy and the potential digital footprint of posting online.

Why this matters for sexual health: consent is the same basic idea in all situations. When it comes to sexual activities, you should always have a clear, enthusiastic yes, and you should be able to withdraw that consent at any time. If someone asks you to do something you’re not comfortable with, or if you feel pressured, talk to a trusted adult such as a parent, guardian, or school counselor. If you want, I can help you write a short practice script you can rehearse with a friend or family member."
