source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	generated_question	appropriate_answer
data/raw/hecat/MEH.pdf	62	Mental and Emotional Health	MEH	8	Advocacy	skill	2	Pre-K-2	2	MEH8.2.2	Demonstrate how to encourage peers to make healthy mental and emotional health choices.		My friend seems sad all the time and doesn't want to play. What should I do to help them feel better?	It's really nice of you to notice your friend and want to help! Sometimes our friends might feel sad for different reasons, just like we sometimes feel sad. A good way to help is to ask them if they want to talk about what's making them feel that way. You can also invite them to play or do fun activities together, but remember to let them know it's okay if they don't want to. Always tell a grown-up you trust about your friend's feelings so they can help too. That way, everyone can feel better and have more fun together!
data/raw/hecat/PHW.pdf	19	Personal Health and Wellness	PHW	2	Analyzing Influences	skill	12	9-12	4	PHW2.12.4	Analyze how personal attitudes, values, and beliefs influence healthy and unhealthy personal health and wellness-related practices and behaviors.		My friend keeps saying that skipping breakfast is fine because it helps you lose weight. I know that’s not true, but I’m not sure what to tell them. Can you help me explain why eating breakfast is important?	Of course! It's great that you want to help your friend understand the importance of eating breakfast. Skipping breakfast might seem like a quick way to lose weight, but it can actually have some negative effects on your body. Eating breakfast can help you start your day with energy and focus. It also helps keep your metabolism active, which can support healthy weight management. When you skip breakfast, your body might slow down its metabolism, making it harder to burn calories later in the day. So, instead of losing weight, you might end up feeling tired and less focused during the morning. It's important to eat a balanced meal that includes protein, fiber, and whole grains to give your body the nutrients it needs. You could suggest trying a healthy breakfast like oatmeal with fruits or a smoothie with yogurt and veggies. This way, you're showing your friend that there are tasty and healthy options for starting the day!
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	38	MEH1.12.38	Summarize the benefits of living in a diverse society.	HBO 7	My friend keeps talking about how people from different backgrounds are weird and shouldn't be around us. What should I say to help them understand the benefits of having friends from all kinds of places?	Hey there! It's really important to remember that everyone has something special to offer. When we have friends from different backgrounds, it helps us learn new things and see the world in many different ways. It's like adding more colors to a picture – the more colors you have, the more beautiful the picture becomes! Plus, being open to others can make us grow and become better people. If your friend is having trouble seeing this, maybe you could share some stories about how meeting new people has helped you. And if they still have questions, it’s always good to talk to a grown-up you trust for more help.
data/raw/hecat/MEH.pdf	24	Mental and Emotional Health	MEH	3	Accessing Information	skill	5	3-5	3	MEH3.5.3	Demonstrate how to locate sources of valid mental and emotional health information.		Can you help me find a good book about feelings? My friend seems sad and I want to know how to help her feel better.	Of course! Reading books about feelings can really help us understand how others are feeling. You might look for a book called 'The Feelings Book' by Todd Parr. It has simple pictures and easy words that explain different emotions. When your friend seems sad, it's great that you want to help! You could try asking her if she wants to talk about what's making her feel that way. Sometimes just sharing thoughts can make someone feel better. Remember, if you're not sure how to help, it's okay to tell a grown-up you trust so they can assist too.
data/raw/hecat/V.pdf	38	Violence Prevention	V	5	Decision-Making	skill	5	3-5	4	V5.5.4	Identify options and their potential outcomes when making a decision that could lead to violence.		My friend wants to play a game where we pretend to fight like in movies. Should I let them? What should we do instead?	Hey there! It's great that you're thinking about this. Pretending to fight can sometimes make people feel excited, but it's important to remember that real fighting can hurt others. Instead, maybe you could try playing a different game that doesn't involve pretending to fight. How about a fun board game or a game of tag that's more about running and laughing? That way, everyone can have a good time without worrying about getting hurt. Always remember, it's best to talk to a grown-up if you're not sure about something. They can help you make safe choices and find fun activities to enjoy together!
data/raw/hecat/PHW.pdf	9	Personal Health and Wellness	PHW	1	Core Concepts	knowledge	12	9-12	3	PHW1.12.3	Summarize personal strategies for avoiding vision damage.	HBO 3	My mom keeps forgetting to put up the curtains in our room, and now my eyes feel really dry and sore. Should I just keep using eye drops all the time or is there another way to protect my eyes?	It's great that you're thinking about ways to take care of your eyes! Using eye drops can help when your eyes feel dry, but it's important to use them as needed rather than all the time. To protect your eyes, try adjusting the lighting in your room by asking your mom to put up curtains during the day to block out bright sunlight. You can also use a humidifier to add moisture to the air, which can help keep your eyes from getting too dry. Remember, if your eyes feel uncomfortable for a long time, it's always best to talk to a grown-up you trust, like your mom or a doctor, so they can check if everything is okay.
data/raw/hecat/MEH.pdf	52	Mental and Emotional Health	MEH	6	Goal Setting	skill	12	9-12	1	MEH6.12.1	Assess personal mental and emotional health practices and behaviors.		My friend seems really sad and doesn't want to talk about it. What should I do? Should I just leave them alone or try to talk to them?	It's great that you're thinking about how to help your friend. When someone seems really sad and doesn't want to talk, it can be tough. First, let them know you care and are there for them. You could say something like, 'I noticed you seem down. Is there anything you want to talk about, or would you rather just be quiet?' Sometimes people need space, but letting them know you're there can make a big difference. If they still don't want to talk after some time, it might be good to check back later. But if you're worried about them, it's also important to tell a grown-up you trust, like a parent or teacher, so they can offer more support.
data/raw/hecat/FN.pdf	40	Food and Nutrition	FN	5	Decision-Making	skill	8	6-8	7	FN5.8.7	Choose a food or beverage that fits with a healthy eating pattern when making a decision about what to eat or drink.		My friend wants to have a party and is thinking about getting pizza and soda. Should we get those, or is there something healthier we could get instead?	Hey! It's great that you're thinking about making healthy choices for the party. Pizza and soda can be fun sometimes, but they might not give us all the nutrients our bodies need. How about we choose some whole grain pizza with lots of veggies and water or juice instead? That way, everyone gets to enjoy yummy food and stay healthy too!
data/raw/hecat/SH.pdf	3	Sexual Health	SH	1	Core Concepts	knowledge	2	Pre-K-2	4	SH1.2.4	Identify the benefits of healthy peer relationships.	HBO 2	My friend keeps trying to show me things on his phone that I don't understand. Should I tell my mom about it?	It's really good that you're thinking about what to do! Sometimes friends share things that might not be right for you to see yet. It's always okay to talk to your mom or another grown-up you trust about things like this. They can help you understand better and keep you safe. Remember, your mom wants to help you and make sure everything is okay.
data/raw/hecat/SH.pdf	7	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	28	SH1.8.28	Explain how to receive consent and accept a lack or retraction of consent for sexual behaviors.	HBO 4|HBO 6|HBO 7|HBO 9	My friend wants to kiss me, but I'm not sure if I should say yes or no. How do I know if it's okay?	Hey there! It's really important to always listen to what you feel comfortable with when it comes to kissing or any other kind of touch. Before you decide, make sure you're both clear about each other's feelings. You can say something like, 'I want to respect your feelings, so can we talk about this first?' If you're not sure or if you don't feel comfortable, it's okay to say no. Remember, it's always good to communicate openly and honestly with your friends. If you ever feel unsure, it's a great idea to talk to a grown-up you trust, like a parent or a teacher, for help.
