source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	scenario_type	situation	generated_question	generated_answer
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	1	AOD1.2.1	Identify how household products are harmful if intentionally inhaled or absorbed.	HBO 1	misinformation	Teen heard a rumor that rubbing hand sanitizer in your ears can make you feel high	My friend told me to rub hand sanitizer in my ears because it's supposed to feel like you're high, but I don't know if that's true or if it's dangerous.	Good catch! That sounds like a silly idea, but it's not safe to do. Hand sanitizer is meant to clean your hands, not your ears. Rubbing it in your ears could hurt them and make you feel sick. It's always best to stick with using hand sanitizer the right way—on your hands to stay healthy!
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	2	AOD1.2.2	Differentiate between candy or other household substances (e.g., laundry pods) and other medications.	HBO 1	confusion_after_event	A friend gave the child a small, colorful pill that looked like candy, but the child was unsure if it was safe to eat.	My friend gave me a little colored pill that looked like candy, but I wasn't sure if it was okay to eat it. Now I'm worried I might have gotten sick.	I can see why you'd be worried. It's smart to be careful with anything that looks like medicine or candy. If you ever get something that looks like that, it's always best to ask a grown-up first. They can help you figure out if it's safe to eat or not. Did you tell a grown-up about the pill your friend gave you?
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	3	AOD1.2.3	Describe how to use medications correctly.	HBO 1|HBO 2	misinformation	The kid heard a friend say that taking Adderall without a prescription is common and not a big deal.	My friend keeps talking about how Adderall is just a strong version of Ritalin and everyone takes it to focus better. I’m not sure if that’s true or if it’s a big deal.	Good catch, that does sound a bit concerning. Adderall is a medicine that doctors give to people who need it to help them focus and pay attention. It's not like Ritalin in the way your friend says. Taking medicine that wasn't prescribed for you can be risky and isn't safe. If you're curious about why, it's because our bodies work differently, and medicines can affect us in different ways. It's always best to talk to a grown-up you trust about any questions you have.
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	4	AOD1.2.4	Describe the importance of adult supervision of medication use.	HBO 1|HBO 2	confusion_after_use	my friend's older brother took some of his dad's Xanax and got really drowsy, and now my friend is worried about it	My friend's bro took some of his dad's Xanax without asking and fell asleep for like 4 hours. My friend is scared they might do that too.	Oh no, that sounds scary! It's good that your friend is worried about it. Taking medicine that wasn't meant for them can make people feel very sleepy and not themselves. It's important to only take medicine that a grown-up gives you. If your friend ever feels confused or sleepy after touching something, they should tell a trusted adult right away. Does that make sense?
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	5	AOD1.2.5	Explain the harmful effects of medications when used incorrectly.	HBO 1|HBO 2	confusion_after_use	my friend took some Xanax pills his cousin gave him and fell asleep for hours	My friend took those Xanax pills his cousin gave him and he slept for like 8 hours straight. I don't get why people take them if they make you so tired.	Oh, that does sound strange, doesn't it? Xanax is a medicine that helps people who are very anxious or having a hard time sleeping. But it can make people very tired if they take it when they don't need it. It's important to only take medicine when a doctor says it's okay, because different medicines can do different things our bodies weren't meant to handle. Your friend is lucky they slept well, but it's good to know that medicine is for special times, not playtime!
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	6	AOD1.2.6	Describe the potential risks associated with use of over-the-counter medications.	HBO 1|HBO 2	misunderstanding	A friend took some cough syrup to help with a headache and felt a bit weird afterwards	My friend took a bunch of cough syrup to feel better and now they're acting all weird. I'm not sure if it was a good idea.	Oh no, that sounds scary! Taking too much cough syrup can make people feel funny and not like themselves. It's important to only take medicine if a grown-up says it's okay and tells you how much to take. How about we talk to a trusted adult, like a parent or a teacher, about what happened? They can help make sure your friend is okay and explain more about why it's important to follow the instructions on medicine bottles.
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	7	AOD1.2.7	Differentiate between helpful medications (e.g., acetaminophen, antibiotics) and harmful drugs (e.g., alcohol, nicotine).	HBO 1|HBO 3|HBO 4	confusion_after_use	The child tried some cough syrup from a friend and is now worried about what it is.	I took some cough syrup my friend gave me and now I'm not sure if it's okay to keep it or if it's one of those bad drugs like the news always talks about.	I can see why you might be worried. Sometimes it can be tricky to know what's okay and what's not. The cough syrup your friend gave you was probably okay to use for your cough. But it's always good to ask a grown-up first before taking any medicine. They can help make sure it's safe and right for you. News sometimes talks about different medicines to keep everyone safe, but don't worry, the cough syrup you took was probably just to help with your cough. 
data/raw/hecat/AOD.pdf	3	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	2	Pre-K-2	8	AOD1.2.8	Identify school rules about use of medications.	HBO 1|HBO 2	confusion_after_use	my friend gave me some cough syrup to help with a headache, but now I'm not sure if it's okay to keep it	My friend gave me some cough syrup to help with my headache, but I don't remember if it's okay to keep it or if I need to give it back. I feel a bit confused and worried.	It's okay to feel a bit confused. Sometimes when friends share things, it can be tricky to know what to do. It's important to remember that it's usually best to give things back to the person who gave them to you, especially if they were meant for a specific person. This way, you're being careful and responsible. If you're not sure, you can always ask a grown-up you trust, like a parent or teacher, for advice.
data/raw/hecat/AOD.pdf	2	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	1	AOD1.5.1	would represent Alcohol and Other Drugs, standard 1, grade span 3-5, knowledge expectation item 1. Directions for Standard 1 1. Review the knowledge expectations (pages AOD-3 through AOD-9). 2. Decide if any knowledge expectations need to be deleted or modified, or if any additional expectations should be added to meet the needs of the community or to conform to curriculum requirements of the state or school district. Review other standards before making changes to the knowledge expectations in Standard 1. Some knowledge expectations may be reflected in the skill expectations in Standards 2-8, and some might be found in other health topic modules. Look in other related topic modules for knowledge expectations that might be edited and added to the list of knowledge expectations for this topic. 3. Read the curriculum to become familiar with its content, the information provided for students, and the methods used to convey information and knowledge content. 4. Place a check in the box next to each knowledge expectation that is addressed by the curriculum and determine the Knowledge Expectations Coverage Score. Important-a knowledge expectation is “addressed” if there is sufficient information provided in the curriculum for students to be able to demonstrate understanding of this concept. Some knowledge expectations might require more evidence than others. 5. Transfer the Knowledge Expectations Coverage Score to the appropriate line on the Overall Summary Form (Chapter 3). 6. Record notes to justify scores and to inform group discussions and curriculum decisions. 7. Analyze Standard 1 for each curriculum being reviewed. If the curriculum addresses more than one grade span, complete a separate analysis of Standard 1 for each span. 8. Complete a separate Overall Summary Form for each curriculum and grade span. Instructions for Standards 2-8 are provided on page AOD-10. ﻿Knowledge Expectations Grades Pre-K-2 2021 HECAT: Module AOD AOD-3 Standard 1 Students will comprehend concepts related to health promotion and disease prevention. for establishing and maintaining an alcohol- and drug-free lifestyle. knowledge expectation addressed in the curriculum.		peer_pressure	my friend offered me a vape, and I took it out of fear of being left out	My friend offered me a vape and I took it because I didn't want to seem weird, but now I feel yucky and don't know what to do.	I can see why you might have taken it to fit in, but it’s good you’re feeling yucky about it now. Vaping can make you feel sick, and it’s important to listen to your body. It’s okay to say no to things that don’t feel right, even if your friends are doing them. You can always talk to a grown-up you trust about how you’re feeling. They can help you make choices that are best for you.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	1	AOD1.5.1	Explain why household products are harmful if intentionally inhaled or absorbed.	HBO 1	misunderstanding	friend thinks a certain household cleaner is cool to smoke because it's 'just cleaner'	My friend keeps saying we should try smoking that cleaner because it's just cleaner, but I’m not sure if it’s safe or not.	Good catch! It's important to remember that even if something is a cleaner, it's not safe to smoke. Cleaners have strong chemicals that can be very harmful when inhaled. It's best to stay away from anything that isn't meant to be breathed in. Maybe talk to your friend about why it's not a good idea?
