source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	scenario_type	situation	generated_question
data/raw/hecat/MEH.pdf	6	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	20	MEH1.8.20	Identify ways to cope with challenging situations (e.g., losing a game, doing poorly on a test).	HBO 5|HBO 6|HBO 9	anxiety	The teen feels anxious about an upcoming speech in class	I keep thinking about my speech tomorrow and my hands feel all sweaty even though it's not that big of a deal.
data/raw/hecat/MEH.pdf	9	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	2	MEH1.12.2	Discuss how brain development and emotions change during adolescence.	HBO 4	self-reflection	teen reflects on mood swings and brain development during adolescence	I've been really moody lately and I keep wondering if that's just my brain changing or if I'm doing something wrong.
data/raw/hecat/MEH.pdf	44	Mental and Emotional Health	MEH	5	Decision-Making	skill	12	9-12	1	MEH5.12.1	Examine barriers to making a healthy decision related to mental and emotional health (e.g., dealing with interpersonal conflict, managing emotional stress).		friendship_conflict	conflict with a friend over a misunderstanding	I keep thinking about what I said to my friend last week and if I should apologize, but I'm scared she'll get mad at me again.
data/raw/hecat/MEH.pdf	7	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	31	MEH1.8.31	Identify strategies to effectively communicate feelings to peers.	HBO 1|HBO 3|HBO 8	friendship_conflict	a friend was upset about something and the other person didn't understand the friend's feelings	My friend was really sad yesterday and I didn't know what to say to make them feel better. I just kept asking if they wanted to do stuff but they didn't want to talk about it.
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	24	MEH1.12.24	Differentiate characteristics of healthy and unhealthy relationships.	HBO 8	friendship_conflict	a friend keeps ignoring the author's texts and calls	My friend hasn't texted or called me back all week and I'm not sure if I did something to upset them.
data/raw/hecat/MEH.pdf	6	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	17	MEH1.8.17	Describe self-control.	HBO 5	self-esteem_struggles	The teen is having trouble with self-doubt and trying to control negative thoughts	I keep telling myself I'm not good enough, but it's hard to stop thinking that way even when I know it's not true.
data/raw/hecat/MEH.pdf	28	Mental and Emotional Health	MEH	3	Accessing Information	skill	12	9-12	8	MEH3.12.8	Use valid mental and emotional health products when needed or appropriate.		anxiety	The teen has been feeling anxious about an upcoming test and hasn't been sleeping well.	I haven't slept much all week because I keep thinking about the test tomorrow.
data/raw/hecat/MEH.pdf	68	Mental and Emotional Health	MEH	8	Advocacy	skill	12	9-12	3	MEH8.12.3	Collaborate with others to advocate for improving mental and emotional health of individuals, families, schools, and communities.		social_media_stress	The teen sees classmates sharing their achievements on social media and feels left out.	Every time I see my classmates posting about their projects and getting praise, I feel like I’m not doing enough.
data/raw/hecat/MEH.pdf	26	Mental and Emotional Health	MEH	3	Accessing Information	skill	8	6-8	3	MEH3.8.3	Describe situations that call for professional mental and emotional health services.		anxiety	The teen is feeling overwhelmed with upcoming exams and family issues	I've been so stressed out about the exams and my parents fighting that I can't sleep at night.
data/raw/hecat/MEH.pdf	44	Mental and Emotional Health	MEH	5	Decision-Making	skill	12	9-12	2	MEH5.12.2	Determine the value of applying thoughtful decision making regarding a mental and emotional health problem.		social_media_stress	The teen spends a lot of time scrolling through social media and comparing themselves to others	I've been spending way too much time on my phone looking at everyone else's perfect lives and it makes me feel like I'm not doing enough.
